ticker,cap_tier,feature,state,mu,sigma,occupancy_pct,sort_by
VZ,large,rolling volatility,0,0.009339597843694956,0.0030211863227112166,88.77849210987726,sigma
VZ,large,rolling volatility,1,0.01865448533080339,0.007219006811850791,11.221507890122735,sigma
VZ,large,absolute return,0,0.0059606572585855465,0.004739395815523578,89.0999415546464,sigma
VZ,large,absolute return,1,0.019085242962725017,0.012656316788680736,10.900058445353594,sigma
VZ,large,20-day return,0,-0.02466776969813251,0.03056949411808676,58.211572180011686,mean
VZ,large,20-day return,1,0.05103551252295294,0.033351727739180895,41.788427819988314,mean
VZ,large,60-day return,0,-0.0370532200447465,0.04513328570238884,52.337814143775574,mean
VZ,large,60-day return,1,0.080388556384973,0.05014070439364467,47.66218585622443,mean
VZ,large,100-day return,0,-0.027634138427593432,0.0614407265358586,62.36119228521333,mean
VZ,large,100-day return,1,0.124637509516147,0.061340477421411584,37.63880771478668,mean
NEE,large,daily return,0,0.000908281617148086,0.009546193427569388,88.74926943308007,sigma
NEE,large,daily return,1,-0.0007335745704251696,0.02867664789710743,11.250730566919929,sigma
NEE,large,rolling volatility,0,0.009404002950642299,0.0031935680602302612,82.49561659848042,sigma
NEE,large,rolling volatility,1,0.021702621868839027,0.01069532426680584,17.50438340151958,sigma
NEE,large,absolute return,0,0.006599095569195322,0.005209525105880377,88.42781998831093,sigma
NEE,large,absolute return,1,0.023316842314228974,0.01778597439298602,11.57218001168907,sigma
NEE,large,20-day return,0,-0.013844011620329387,0.08239332096326785,31.765049678550554,mean
NEE,large,20-day return,1,0.027041110394075387,0.025573262834115332,68.23495032144945,mean
NEE,large,60-day return,0,-0.03989465301758602,0.05715233773667542,37.31735827001753,mean
NEE,large,60-day return,1,0.08290224223499944,0.04657830096150803,62.68264172998247,mean
NEE,large,100-day return,0,-0.021934507667452103,0.07177540669427607,42.694330800701344,mean
NEE,large,100-day return,1,0.1296225542011477,0.05284791892371179,57.305669199298656,mean
CAT,large,daily return,0,0.001030586749582638,0.011849081559496847,73.84570426651081,sigma
CAT,large,daily return,1,0.00010557192724304813,0.02777862176520342,26.154295733489185,sigma
CAT,large,rolling volatility,0,0.013678599634677642,0.004042274383223524,76.0958503798948,sigma
CAT,large,rolling volatility,1,0.025513257844628358,0.007680768391323981,23.9041496201052,sigma
CAT,large,absolute return,0,0.008349047441316267,0.0063675992331531425,82.0280537697253,sigma
CAT,large,absolute return,1,0.028134451562537036,0.016990279298029272,17.971946230274693,sigma
CAT,large,20-day return,0,-0.05657323085695697,0.053739494579774505,41.75920514319111,mean
CAT,large,20-day return,1,0.06537424400999009,0.0564858475075846,58.24079485680889,mean
CAT,large,60-day return,0,-0.0673349571453663,0.07771465569480233,51.02279368790181,mean
CAT,large,60-day return,1,0.15397489182832327,0.0797565350053996,48.97720631209819,mean
CAT,large,100-day return,0,-0.04876673128250729,0.09933296040688615,60.84161309175921,mean
CAT,large,100-day return,1,0.25275252678038057,0.10768107598782785,39.15838690824079,mean
DECK,mid,daily return,0,0.0014111298240262133,0.01777479013424186,86.55756867329048,sigma
DECK,mid,daily return,1,0.00010609669131782049,0.049403333690368666,13.442431326709524,sigma
DECK,mid,rolling volatility,0,0.018608722422456477,0.004948608503203216,68.90707188778492,sigma
DECK,mid,rolling volatility,1,0.03610017235131282,0.011224326593457767,31.09292811221508,sigma
DECK,mid,absolute return,0,0.01305001084149035,0.009531621544761856,88.25248392752776,sigma
DECK,mid,absolute return,1,0.045171579051715205,0.031073522744367938,11.747516072472239,sigma
DECK,mid,20-day return,0,-0.05036275248770692,0.07428499897276575,57.86090005844535,mean
DECK,mid,20-day return,1,0.11646147012367346,0.0792748431985572,42.13909994155465,mean
DECK,mid,60-day return,0,-0.10680455831021228,0.10871177573921449,41.99298655756867,mean
DECK,mid,60-day return,1,0.19095438582165206,0.1350782351802757,58.00701344243133,mean
DECK,mid,100-day return,0,-0.1637041874146721,0.13539272547127762,33.89830508474576,mean
DECK,mid,100-day return,1,0.2552022489685018,0.17263355600765423,66.10169491525424,mean
SIG,mid,daily return,0,0.0007783200133641111,0.01806161738881209,78.46288720046756,sigma
SIG,mid,daily return,1,0.0018895284596470703,0.06415426065236628,21.537112799532437,sigma
SIG,mid,rolling volatility,0,0.01730054822304783,0.0058150499183147325,58.76680303915839,sigma
SIG,mid,rolling volatility,1,0.04423745102553457,0.02026578581076409,41.23319696084161,sigma
SIG,mid,absolute return,0,0.013213345792587263,0.010193770450974617,84.2197545295149,sigma
SIG,mid,absolute return,1,0.056288877073996615,0.04453157012493207,15.780245470485097,sigma
SIG,mid,20-day return,0,0.011580539987464123,0.058264428608654745,66.16014026884862,mean
SIG,mid,20-day return,1,0.035553108342414354,0.23663951902279134,33.83985973115137,mean
SIG,mid,60-day return,0,0.03057810170854245,0.09129831731240862,55.669199298655755,mean
SIG,mid,60-day return,1,0.0902561566166409,0.39804205919810143,44.330800701344245,mean
SIG,mid,100-day return,0,-0.019540479344506062,0.2361203109537214,86.87901811805962,mean
SIG,mid,100-day return,1,0.9083001153757616,0.44383474627172803,13.120981881940386,mean
MAT,mid,daily return,0,0.0003044652180624211,0.014145261860482377,84.7457627118644,sigma
MAT,mid,daily return,1,0.00037714763020047355,0.04438148838167494,15.254237288135593,sigma
MAT,mid,rolling volatility,0,0.01425703680427,0.004712786602082622,69.81297486849796,sigma
MAT,mid,rolling volatility,1,0.031444956502668625,0.01123287507021073,30.187025131502043,sigma
MAT,mid,absolute return,0,0.009762892807613506,0.0072980442143366405,86.06078316773817,sigma
MAT,mid,absolute return,1,0.03705268579655901,0.02694617661671543,13.939216832261836,sigma
MAT,mid,20-day return,0,-0.06319493070048848,0.06726936252567248,46.78550555230859,mean
MAT,mid,20-day return,1,0.06854877096623144,0.06542130978791195,53.21449444769141,mean
MAT,mid,60-day return,0,-0.10712351389675015,0.09252827561798756,48.83109292811221,mean
MAT,mid,60-day return,1,0.1279992611319491,0.10428973950858439,51.16890707188778,mean
MAT,mid,100-day return,0,-0.14304771297903693,0.0932072324315418,43.39567504383402,mean
MAT,mid,100-day return,1,0.15354202528708513,0.1539711439437832,56.60432495616598,mean
HOG,mid,daily return,0,5.471198323647185e-05,0.016220738277148636,90.38573933372297,sigma
HOG,mid,daily return,1,0.0028715140578585738,0.05210663346351201,9.614260666277032,sigma
HOG,mid,rolling volatility,0,0.016382927064662316,0.004833013179659454,78.46288720046756,sigma
HOG,mid,rolling volatility,1,0.03647897289065331,0.016126223742547303,21.537112799532437,sigma
HOG,mid,absolute return,0,0.010801171926590226,0.008151452627505823,86.32378725891292,sigma
HOG,mid,absolute return,1,0.04008675060970341,0.02921945706422617,13.676212741087085,sigma
HOG,mid,20-day return,0,-0.05463450673793116,0.06478557553144429,57.919345412039746,mean
HOG,mid,20-day return,1,0.09171830428680275,0.07096618112871592,42.08065458796026,mean
HOG,mid,60-day return,0,-0.09716272852286671,0.09531072520480095,50.5260081823495,mean
HOG,mid,60-day return,1,0.13679278630896985,0.10863013195145824,49.4739918176505,mean
HOG,mid,100-day return,0,-0.09731565308606367,0.10779103095252143,57.24722384570426,mean
HOG,mid,100-day return,1,0.20164201306623047,0.1344739596377883,42.75277615429574,mean
ANF,mid,daily return,0,0.0009741022632434274,0.023264303440982445,94.593804792519,sigma
ANF,mid,daily return,1,0.0009387807570625528,0.08499827862186109,5.406195207481005,sigma
