ticker,cap_tier,group,step_n_features,feature_combo,state,feature_index,feature_name,mu,sigma,occupancy_pct
CVX,large,bb,1,20-day return,0,0,20-day return,0.0018986203415547896,0.040993667844453074,73.45635202271114
CVX,large,bb,1,20-day return,1,0,20-day return,0.03105905913193262,0.1616710315278889,26.54364797728886
CVX,large,bb,2,20-day return + 60-day return,0,0,20-day return,-0.01152751752242511,0.053140342171781325,55.784244144783536
CVX,large,bb,2,20-day return + 60-day return,0,1,60-day return,-0.021574481952241563,0.05917429760307671,55.784244144783536
CVX,large,bb,2,20-day return + 60-day return,1,0,20-day return,0.03659146953782295,0.11992409093453747,44.215755855216464
CVX,large,bb,2,20-day return + 60-day return,1,1,60-day return,0.0942091659169639,0.18355719898974482,44.215755855216464
CVX,large,bb,3,20-day return + 60-day return + 100-day return,0,0,20-day return,0.005972966102202392,0.10230606257969868,56.56493967352733
CVX,large,bb,3,20-day return + 60-day return + 100-day return,0,1,60-day return,-0.03686939367466681,0.10242816177725193,56.56493967352733
CVX,large,bb,3,20-day return + 60-day return + 100-day return,0,2,100-day return,-0.04880970862589035,0.09656954349270773,56.56493967352733
CVX,large,bb,3,20-day return + 60-day return + 100-day return,1,0,20-day return,0.014940788609105695,0.07731294999330592,43.43506032647267
CVX,large,bb,3,20-day return + 60-day return + 100-day return,1,1,60-day return,0.11679694366848486,0.13988098888096118,43.43506032647267
CVX,large,bb,3,20-day return + 60-day return + 100-day return,1,2,100-day return,0.18125777005251908,0.18956315579867283,43.43506032647267
HD,large,vol,1,daily return,0,0,daily return,-0.0004385134692982181,0.030529103609257216,18.41486861781671
HD,large,vol,1,daily return,1,0,daily return,0.0009821671057712118,0.010966990632380968,81.58513138218329
HD,large,vol,2,daily return + rolling volatility,0,0,daily return,-0.00019796802895971378,0.02834505516383858,21.063875240333264
HD,large,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.02521011163298281,0.011531610298745588,21.063875240333264
HD,large,vol,2,daily return + rolling volatility,1,0,daily return,0.0009409544308022383,0.011899395896481094,78.93612475966674
HD,large,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.011127249656752653,0.0036175199147408434,78.93612475966674
